Company Name,NAICS ,Layoff Total, Local Area,WARN Date,Layoff Date(s),Temp Layoffs,Perm Layoffs,Furloughs,Reason for Layoff,WARN Letter,Occupations,,,,
Grand Hyatt Vail,72,196,Rural Resort,6/15/2020,"6/26/2020, 6/30/2020",196,,,Temporary furloughs & layoffs,Grand Hyatt Vail ,"Various: Servers, Cooks, Stewards, Event Manger, Front Desk, Housekeeping, Purchasing, Maintenance & more, 196 (7 perm & 189 furlough)196",,,,
Grand Hyatt Vail - Update,72,9,Rural Consortium =RR,9/11/2020,9/4/20,,9,,COVID 19 - Permanent Closure,Grand Hyatt,Various hotel staff positions (See WARN),,,,
Great Wolf Lodge,72,446,Pikes Peak,3/27/2020,3/16/20,446,,,COVID-19 - Temporary Closure,Great Wolf,"Wait staff, bartenders, parking attendants, cooks, front desk, baristas, bellmen, room attendants",,,,
Group Publishing Inc. ,51,62,Larimer,5/22/2020,7/1/20 & 10/1/30,,62,,Mass Layoff - Permanent,Group Publishing,Not disclosed,,,,
Guest Services,56,3,RC,7/23/2020,9/25/20,,3,,COVID Permanent,Guest Services,Not specified,,,,
Halliburton,21,130,Weld ,4/14/2020,4/13/20,,130,,Permanent  ,Halliburton,Various,,,,
Hard Rock Cafe,72,74,Denver,4/22/2020,4/13/20-4/27/20,,,74,Furlough,Hard Rock Cafe,"Bartender, Bussers, Dishwashers, Financial Asst, Line Cook, Maintenance, Cafe Sales, Cooks, Supervisors kitch and Retail",,,,
Hertz Corporation,53,190,Denver,4/24/2020,4/14/20 & 4/20/20,,190,,Mass Layoff - Permanent,Hertz Corp,"Various: Vehicle Service Attendancts, Courtesy Bus Drivers, Customer Care, Mechanics ",,,,
Hertz Corporation (Update),53,212,Denver,6/18/2020,8/17/2020,,212,,Mass Layoff- Permanent,Hertz Corporation (Update),Variety of postions - Request WARN for detail,,,,
Hertz Corporation Update,53,19,Denver,5/21/2020,5/20/20,,19,,Mass Layoff - Permanent,Hertz Corp Update,"Various: Customer Care, Clerks",,,,
Hilton Denver City Center - Updated,72,24,Denver,10/9/2020,10/23/20,,24,,COVID - Permanent,Hilton Denver City,Not reported,,,,
Hilton Denver City Center Update,72, ,Denver,7/24/2020,7/24/20,0,,,COVID Temporary,Hilton Denver City Update,Not disclosed,,,,
Hilton Denver Inverness,72,0,Arapahoe/Douglas,5/6/2020,Not available,0,,,COVID - Temporary ,Hilton Inverness,"Various: Clerks, Controllers, Event Sales Engineering, Event Planner, Front Desk Agent, Supervisor, Room Service; EXTEND DATE 200 ",,,,
Hilton Garden Denver Inverness - Update,72,187,ADW,8/31/20,8/19/20,,,187,COVID 19 Extended Furlough,Hilton Denver Inverness,Various,,,,
Hilton Garden Inn,72,113,Denver,5/4/2020,Not available,113,,,COVID - Temporary ,Hilton Garden Inn,"Various: Clerks, Controllers, Event Sales Engineering, Event Planner, Front Desk Agent, Supervisor, Room Service ",,,,
Hilton Garden Inn - Update,72,76,Denver,8/31/2020,8/19/20,,,76,COVID 19 Extended Furlough,Hilton Garden Inn,Various,,,,
Hiro and Company,72,92,Denver,6/9/2020,5/31/20,,92,,Permanent,Hiro & Company,"Various: bussers, servers, cooks,hosts, kitchen staff, managers, bar staff, bartenders, chefs",,,,
HMSHost,72,21,Denver,3/20/2020,"3/19/20 to 4/20/20, closing 3/19/20",21,,,COVID-19/Temporary Closure,HMS Host,Not disclosed,,,,
HMSHost - Update,72,184,Denver,8/11/2020,10/15/19,,184,,COVID - Permanent,HMSHost Update,"Various: Baristas, Bartenders, Supervisors, Utility, Cooks and more",,,,
Holiday Inn Denver East Stapleton,72,24,Denver,3/23/2020,3/19/20,24,,,COVID-19 - Temporary Closure,,"bartender, Director of Sales, Van Driver, FD agent, Night Audit, Group sales, laundry, cooks, maintenance tech, attendants, servers, bussers, stewards",,,,
Hudson Group & Airport Management Services,48,55,Denver,7/30/2020,7/31/20,,55,,COVID Permanet,Hudson Group Airport Mgmt Srvs,"Beauty Advisors, office administration, operations manager, service associate, specialty service associate, supervisor, warehouse associate",,,,
Hyatt Regency Denver,72,464,Denver,6/2/2020,3/29/20,464,,,"COVID-19 - Partial Closure: permanent, furloughs to temporary layoffs, extension of furloughs",Hyatt Regency Denver,"Various: Cooks, Housepersons, Event Services Supervisors, Hosts, Housekeeping, Security Officers, Servers, & Others20 tOTAL 464 permanent;  87-extensions of furloughs, 357-furloughs to temporary layoffs w/o employment benefits",,,,
Hyatt Regency Denver,72,88,Denver,11/4/2020,11/6/20,,88,,COVID-Permanent,Hyatt Regency Denver,"Various: Managers, Housekeepers, Event Managers, Housekeeping, Sales and more (See WARN)",,,,
International Car Wash Group,,37,Arapahoe/Douglas,3/27/2020,3/31/20,,,37,Furlough,ICWG,"Accountants, Accounts Payable, Business Manager, Construction Manager, Financial Analysts, Marketing",,,,
iQor Holdings US LLC,54,82,Pueblo,3/2/2020,5/1/2020,,82,,Mass Layoff m- Permanent,IQor,Unknown ,,,,
"iQor Holdings US LLC (Update, 33 jobs saved)",54,N/A,Rural Consortium,4/24/2020,N/A,0,0,0,Jobs Saved,Iqor Update,N/A,,,,
Isis Theatre/Metro Rocky Mountain Cinemas,51,11,Rural Resort,3/20/2020,3/21/20,11,,,COVID-19 /Mass Layoff-Temp,Isis,2 on furlough,,,,
Isle of Capri & Lady Luck Casinos,71,470,Gilpin/Jefferson,4/7/2020,4/7/20,,,470,Furlough,Capri & Lady,Not Disclosed,,,,
Italian Beverage LLC,72,92,Denver,4/6/2020,4/6/20,,,92,Furlough,Italian Bev,"Various: cooks, bartenders, host, server, food runners, barista, diswasher host",,,,
JW Marriott Denver Cherry Creek,72,112,Denver,3/30/2020,3/23/20,112,,,COVID-19 Temporary Closure,JW Marriott,Variety of positions - Request WARN for detail,,,,
Keystone Conference Center,72,75,Rural Consortium,4/6/2020,4/6/20,75,,,COVID-19 - Temporary Closure,Keystone Confer.,Unspecified ,,,,
Keystone Conference Center,72,25,Rural Resort,5/4/2020,Not available,25,,,COVID - Temporary ,Keystone Conference Ctr,"Not Disclosed; extend furlough date,25 additional totaling 100",,,,
Keystone Lodging,72,200,Rural Consortium,4/6/2020,4/6/20,200,,,COVID-19 - Temporary Closure,Keystone Lodging,Unspecified ,,,,
Keystone Lodging,72,42,Rural Resort,5/4/2020,Not available,43,,,COVID - Temporary ,Keystone Lodging,Not Disclosed; 42 additional totaling 242,,,,
